answer_id,url,domain,is_owned_domain
1,https://talkspace.com/example,talkspace.com,True
1,https://verywellmind.com/example,verywellmind.com,False
2,https://samhsa.gov/example,samhsa.gov,False
2,https://headspace.com/example,headspace.com,True
2,https://apa.org/example,apa.org,False
2,https://betterhelp.com/example,betterhelp.com,True
3,https://samhsa.gov/example,samhsa.gov,False
3,https://betterhelp.com/example,betterhelp.com,True
3,https://nimh.nih.gov/example,nimh.nih.gov,False
3,https://headspace.com/example,headspace.com,True
4,https://healthline.com/example,healthline.com,False
4,https://talkspace.com/example,talkspace.com,True
5,https://samhsa.gov/example,samhsa.gov,False
5,https://betterhelp.com/example,betterhelp.com,True
5,https://nimh.nih.gov/example,nimh.nih.gov,False
6,https://nimh.nih.gov/example,nimh.nih.gov,False
6,https://apa.org/example,apa.org,False
6,https://betterhelp.com/example,betterhelp.com,True
7,https://samhsa.gov/example,samhsa.gov,False
7,https://apa.org/example,apa.org,False
7,https://talkspace.com/example,talkspace.com,True
7,https://nimh.nih.gov/example,nimh.nih.gov,False
8,https://cerebral.com/example,cerebral.com,True
8,https://talkspace.com/example,talkspace.com,True
8,https://apa.org/example,apa.org,False
9,https://verywellmind.com/example,verywellmind.com,False
9,https://nimh.nih.gov/example,nimh.nih.gov,False
9,https://samhsa.gov/example,samhsa.gov,False
10,https://talkspace.com/example,talkspace.com,True
10,https://nimh.nih.gov/example,nimh.nih.gov,False
10,https://verywellmind.com/example,verywellmind.com,False
10,https://cerebral.com/example,cerebral.com,True
11,https://cerebral.com/example,cerebral.com,True
11,https://nimh.nih.gov/example,nimh.nih.gov,False
11,https://samhsa.gov/example,samhsa.gov,False
12,https://nimh.nih.gov/example,nimh.nih.gov,False
12,https://cerebral.com/example,cerebral.com,True
12,https://verywellmind.com/example,verywellmind.com,False
13,https://headspace.com/example,headspace.com,True
13,https://talkspace.com/example,talkspace.com,True
13,https://nimh.nih.gov/example,nimh.nih.gov,False
14,https://samhsa.gov/example,samhsa.gov,False
14,https://healthline.com/example,healthline.com,False
14,https://headspace.com/example,headspace.com,True
15,https://headspace.com/example,headspace.com,True
15,https://betterhelp.com/example,betterhelp.com,True
15,https://apa.org/example,apa.org,False
16,https://headspace.com/example,headspace.com,True
16,https://verywellmind.com/example,verywellmind.com,False
16,https://apa.org/example,apa.org,False
17,https://headspace.com/example,headspace.com,True
17,https://samhsa.gov/example,samhsa.gov,False
